City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
150,Saskylakh,RU,2021-01-13 17:26:09,71.9167,114.0833,-39.84,78,98,11.65
151,Tineo,ES,2021-01-13 17:26:09,43.3376,-6.4145,48.2,71,0,1.14
152,Cayenne,GF,2021-01-13 17:26:09,4.9333,-52.3333,82.4,74,90,13.8
153,Pandan,PH,2021-01-13 17:26:09,14.0453,124.1694,78.42,88,100,16.58
154,Ust-Kan,RU,2021-01-13 17:26:10,50.9276,84.761,-6.05,84,98,3.0
155,Bamiantong,CN,2021-01-13 17:26:10,44.9333,130.5333,-3.75,86,1,6.98
156,Neropolis,BR,2021-01-13 17:26:10,-16.4064,-49.2186,87.8,48,40,4.61
157,Bluff,NZ,2021-01-13 17:26:10,-46.6,168.3333,55.99,86,31,1.01
158,Rudnya,RU,2021-01-13 17:26:10,54.947,31.0934,24.8,80,90,8.95
159,Capleni,RO,2021-01-13 17:26:10,47.7167,22.5,30.2,93,47,8.05
160,Amursk,RU,2021-01-13 17:26:10,50.2261,136.8994,-4.07,87,100,14.81
161,Port Elizabeth,ZA,2021-01-13 17:23:41,-33.918,25.5701,71.6,83,90,12.66
162,Kodiak,US,2021-01-13 17:26:10,57.79,-152.4072,30.2,86,1,3.44
163,Mgandu,TZ,2021-01-13 17:26:10,-5.95,34.1333,63.43,93,61,2.21
164,Longyearbyen,SJ,2021-01-13 17:26:10,78.2186,15.6401,15.8,79,40,6.91
165,Luderitz,NA,2021-01-13 17:26:10,-26.6481,15.1594,70.41,67,14,9.98
166,Papara,BR,2021-01-13 17:26:10,-3.9839,-38.7273,87.8,62,20,14.97
167,Kavieng,PG,2021-01-13 17:26:10,-2.5744,150.7967,82.18,77,8,14.34
168,Iqaluit,CA,2021-01-13 17:26:10,63.7506,-68.5145,-5.8,71,40,14.97
169,Banjar,ID,2021-01-13 17:26:10,-8.19,114.9675,80.6,89,75,5.75
170,Qaanaaq,GL,2021-01-13 17:26:10,77.484,-69.3632,-2.76,86,39,1.79
171,San Patricio,US,2021-01-13 17:26:11,28.017,-97.5169,53.01,76,40,5.75
172,Storslett,NO,2021-01-13 17:26:11,69.7678,21.0247,5.0,66,0,219.8
173,Marawi,PH,2021-01-13 17:26:11,7.9986,124.2928,75.99,94,100,4.0
174,Georgetown,MY,2021-01-13 17:26:11,5.4112,100.3354,80.01,83,20,2.3
175,Chuy,UY,2021-01-13 17:26:11,-33.6971,-53.4616,73.47,43,0,10.92
176,Puerto Leguizamo,CO,2021-01-13 17:26:11,-0.1934,-74.7819,75.94,76,97,5.55
177,Narrabri,AU,2021-01-13 17:26:11,-30.3167,149.7833,71.6,53,0,9.22
178,Lebu,CL,2021-01-13 17:26:11,-37.6167,-73.65,60.71,58,41,14.56
179,Iwanai,JP,2021-01-13 17:26:11,42.9744,140.5089,26.29,95,100,10.18
